date,daily_first_dose,cumulative_first_dose,daily_second_dose,cumulative_second_dose,daily_booster,cumulative_booster,first_dose_percentage,second_dose_percentage,booster_percentage,Pfizer_daily,Pfizer_percentage,Moderna_daily,Moderna_percentage,AstraZeneca_daily,AstraZeneca_percentage,Janssen_daily,Janssen_percentage,Novavax_daily,Novavax_percentage
2024-05-04,105839,8924480,80435,6309259,0.0,0.0,17.5,12.37,0.0,83823,45.0,55882,30.0,27941,15.0,9313,5.0,9313,5.0
2024-05-05,106777,9031257,81296,6390555,0.0,0.0,17.71,12.53,0.0,84632,45.0,56421,30.0,28210,15.0,9403,5.0,9403,5.0
2024-05-06,107716,9138973,82160,6472715,0.0,0.0,17.92,12.69,0.0,85444,45.0,56962,30.0,28481,15.0,9493,5.0,9493,5.0
2024-05-07,108653,9247626,83029,6555744,0.0,0.0,18.13,12.85,0.0,86256,45.0,57504,30.0,28752,15.0,9584,5.0,9584,5.0
2024-05-08,109593,9357219,83903,6639647,0.0,0.0,18.35,13.02,0.0,87073,45.0,58048,30.0,29024,15.0,9674,5.0,9674,5.0
2024-05-09,110530,9467749,84779,6724426,0.0,0.0,18.56,13.19,0.0,87889,45.0,58592,30.0,29296,15.0,9765,5.0,9765,5.0
2024-05-10,111469,9579218,85662,6810088,0.0,0.0,18.78,13.35,0.0,88708,45.0,59139,30.0,29569,15.0,9856,5.0,9856,5.0
2024-05-11,112405,9691623,86547,6896635,0.0,0.0,19.0,13.52,0.0,89528,45.0,59685,30.0,29842,15.0,9947,5.0,9947,5.0
2024-05-12,113341,9804964,87437,6984072,0.0,0.0,19.23,13.69,0.0,90350,45.0,60233,30.0,30116,15.0,10038,5.0,10038,5.0
2024-05-13,114276,9919240,88331,7072403,0.0,0.0,19.45,13.87,0.0,91173,45.0,60782,30.0,30391,15.0,10130,5.0,10130,5.0
2024-05-14,115210,10034450,89228,7161631,0.0,0.0,19.68,14.04,0.0,91997,45.0,61331,30.0,30665,15.0,10221,5.0,10221,5.0
2024-05-15,116142,10150592,90128,7251759,0.0,0.0,19.9,14.22,0.0,92821,45.0,61881,30.0,30940,15.0,10313,5.0,10313,5.0
2024-05-16,117071,10267663,91032,7342791,0.0,0.0,20.13,14.4,0.0,93646,45.0,62430,30.0,31215,15.0,10405,5.0,10405,5.0
2024-05-17,117999,10385662,91940,7434731,0.0,0.0,20.36,14.58,0.0,94472,45.0,62981,30.0,31490,15.0,10496,5.0,10496,5.0
2024-05-18,118925,10504587,92851,7527582,0.0,0.0,20.6,14.76,0.0,95299,45.0,63532,30.0,31766,15.0,10588,5.0,10588,5.0
2024-05-19,119848,10624435,93764,7621346,0.0,0.0,20.83,14.94,0.0,96125,45.0,64083,30.0,32041,15.0,10680,5.0,10680,5.0
2024-05-20,120768,10745203,94680,7716026,0.0,0.0,21.07,15.13,0.0,96951,45.0,64634,30.0,32317,15.0,10772,5.0,10772,5.0
2024-05-21,121684,10866887,95599,7811625,0.0,0.0,21.31,15.32,0.0,97777,45.0,65184,30.0,32592,15.0,10864,5.0,10864,5.0
2024-05-22,122598,10989485,96521,7908146,0.0,0.0,21.55,15.51,0.0,98603,45.0,65735,30.0,32867,15.0,10955,5.0,10955,5.0
2024-05-23,123508,11112993,97445,8005591,0.0,0.0,21.79,15.7,0.0,99428,45.0,66285,30.0,33142,15.0,11047,5.0,11047,5.0
2024-05-24,124415,11237408,98371,8103962,0.0,0.0,22.03,15.89,0.0,100253,45.0,66835,30.0,33417,15.0,11139,5.0,11139,5.0
2024-05-25,125316,11362724,99299,8203261,0.0,0.0,22.28,16.08,0.0,101076,45.0,67384,30.0,33692,15.0,11230,5.0,11230,5.0
2024-05-26,126213,11488937,100229,8303490,0.0,0.0,22.53,16.28,0.0,101898,45.0,67932,30.0,33966,15.0,11322,5.0,11322,5.0
2024-05-27,127107,11616044,101161,8404651,0.0,0.0,22.78,16.48,0.0,102720,45.0,68480,30.0,34240,15.0,11413,5.0,11413,5.0
2024-05-28,127994,11744038,102095,8506746,0.0,0.0,23.03,16.68,0.0,103540,45.0,69026,30.0,34513,15.0,11504,5.0,11504,5.0
2024-05-29,128877,11872915,103029,8609775,0.0,0.0,23.28,16.88,0.0,104357,45.0,69571,30.0,34785,15.0,11595,5.0,11595,5.0
2024-05-30,129754,12002669,103965,8713740,0.0,0.0,23.53,17.09,0.0,105173,45.0,70115,30.0,35057,15.0,11685,5.0,11685,5.0
2024-05-31,130626,12133295,104901,8818641,0.0,0.0,23.79,17.29,0.0,105987,45.0,70658,30.0,35329,15.0,11776,5.0,11776,5.0
2024-06-01,131491,12264786,105839,8924480,0.0,0.0,24.05,17.5,0.0,106798,45.0,71199,30.0,35599,15.0,11866,5.0,11866,5.0
2024-06-02,132350,12397136,106777,9031257,0.0,0.0,24.31,17.71,0.0,107607,45.0,71738,30.0,35869,15.0,11956,5.0,11956,5.0
2024-06-03,133203,12530339,107716,9138973,0.0,0.0,24.57,17.92,0.0,108413,45.0,72275,30.0,36137,15.0,12045,5.0,12045,5.0
2024-06-04,134048,12664387,108653,9247626,0.0,0.0,24.83,18.13,0.0,109215,45.0,72810,30.0,36405,15.0,12135,5.0,12135,5.0
2024-06-05,134886,12799273,109593,9357219,0.0,0.0,25.1,18.35,0.0,110015,45.0,73343,30.0,36671,15.0,12223,5.0,12223,5.0
2024-06-06,135718,12934991,110530,9467749,0.0,0.0,25.36,18.56,0.0,110811,45.0,73874,30.0,36937,15.0,12312,5.0,12312,5.0
2024-06-07,136541,13071532,111469,9579218,0.0,0.0,25.63,18.78,0.0,111604,45.0,74403,30.0,37201,15.0,12400,5.0,12400,5.0
2024-06-08,137357,13208889,112405,9691623,0.0,0.0,25.9,19.0,0.0,112392,45.0,74928,30.0,37464,15.0,12488,5.0,12488,5.0
2024-06-09,138163,13347052,113341,9804964,0.0,0.0,26.17,19.23,0.0,113176,45.0,75451,30.0,37725,15.0,12575,5.0,12575,5.0
2024-06-10,138963,13486015,114276,9919240,0.0,0.0,26.44,19.45,0.0,113957,45.0,75971,30.0,37985,15.0,12661,5.0,12661,5.0
2024-06-11,139752,13625767,115210,10034450,0.0,0.0,26.72,19.68,0.0,114732,45.0,76488,30.0,38244,15.0,12748,5.0,12748,5.0
2024-06-12,140532,13766299,116142,10150592,0.0,0.0,26.99,19.9,0.0,115503,45.0,77002,30.0,38501,15.0,12833,5.0,12833,5.0
2024-06-13,141304,13907603,117071,10267663,0.0,0.0,27.27,20.13,0.0,116268,45.0,77512,30.0,38756,15.0,12918,5.0,12918,5.0
2024-06-14,142065,14049668,117999,10385662,0.0,0.0,27.55,20.36,0.0,117028,45.0,78019,30.0,39009,15.0,13003,5.0,13003,5.0
2024-06-15,142817,14192485,118925,10504587,0.0,0.0,27.83,20.6,0.0,117783,45.0,78522,30.0,39261,15.0,13087,5.0,13087,5.0
2024-06-16,143559,14336044,119848,10624435,0.0,0.0,28.11,20.83,0.0,118533,45.0,79022,30.0,39511,15.0,13170,5.0,13170,5.0
2024-06-17,144289,14480333,120768,10745203,0.0,0.0,28.39,21.07,0.0,119275,45.0,79517,30.0,39758,15.0,13252,5.0,13252,5.0
2024-06-18,145010,14625343,121684,10866887,0.0,0.0,28.68,21.31,0.0,120012,45.0,80008,30.0,40004,15.0,13334,5.0,13334,5.0
2024-06-19,145719,14771062,122598,10989485,0.0,0.0,28.96,21.55,0.0,120742,45.0,80495,30.0,40247,15.0,13415,5.0,13415,5.0
2024-06-20,146416,14917478,123508,11112993,0.0,0.0,29.25,21.79,0.0,121465,45.0,80977,30.0,40488,15.0,13496,5.0,13496,5.0
2024-06-21,147103,15064581,124415,11237408,0.0,0.0,29.54,22.03,0.0,122183,45.0,81455,30.0,40727,15.0,13575,5.0,13575,5.0
2024-06-22,147778,15212359,125316,11362724,0.0,0.0,29.83,22.28,0.0,122892,45.0,81928,30.0,40964,15.0,13654,5.0,13654,5.0
2024-06-23,148440,15360799,126213,11488937,0.0,0.0,30.12,22.53,0.0,123593,45.0,82395,30.0,41197,15.0,13732,5.0,13732,5.0
2024-06-24,149090,15509889,127107,11616044,0.0,0.0,30.41,22.78,0.0,124288,45.0,82859,30.0,41429,15.0,13809,5.0,13809,5.0
2024-06-25,149727,15659616,127994,11744038,0.0,0.0,30.71,23.03,0.0,124974,45.0,83316,30.0,41658,15.0,13886,5.0,13886,5.0
2024-06-26,150352,15809968,128877,11872915,0.0,0.0,31.0,23.28,0.0,125653,45.0,83768,30.0,41884,15.0,13961,5.0,13961,5.0
2024-06-27,150963,15960931,129754,12002669,0.0,0.0,31.3,23.53,0.0,126322,45.0,84215,30.0,42107,15.0,14035,5.0,14035,5.0
2024-06-28,151562,16112493,130626,12133295,0.0,0.0,31.59,23.79,0.0,126984,45.0,84656,30.0,42328,15.0,14109,5.0,14109,5.0
2024-06-29,152146,16264639,131491,12264786,0.0,0.0,31.89,24.05,0.0,127636,45.0,85091,30.0,42545,15.0,14181,5.0,14181,5.0
2024-06-30,152717,16417356,132350,12397136,0.0,0.0,32.19,24.31,0.0,128280,45.0,85520,30.0,42760,15.0,14253,5.0,14253,5.0
2024-07-01,153273,16570629,133203,12530339,0.0,0.0,32.49,24.57,0.0,128914,45.0,85942,30.0,42971,15.0,14323,5.0,14323,5.0
2024-07-02,153816,16724445,134048,12664387,0.0,0.0,32.79,24.83,0.0,129538,45.0,86359,30.0,43179,15.0,14393,5.0,14393,5.0
2024-07-03,154344,16878789,134886,12799273,0.0,0.0,33.1,25.1,0.0,130153,45.0,86769,30.0,43384,15.0,14461,5.0,14461,5.0
2024-07-04,154857,17033646,135718,12934991,0.0,0.0,33.4,25.36,0.0,130758,45.0,87172,30.0,43586,15.0,14528,5.0,14528,5.0
2024-07-05,155355,17189001,136541,13071532,0.0,0.0,33.7,25.63,0.0,131353,45.0,87568,30.0,43784,15.0,14594,5.0,14594,5.0
2024-07-06,155838,17344839,137357,13208889,0.0,0.0,34.01,25.9,0.0,131937,45.0,87958,30.0,43979,15.0,14659,5.0,14659,5.0
2024-07-07,156305,17501144,138163,13347052,0.0,0.0,34.32,26.17,0.0,132510,45.0,88340,30.0,44170,15.0,14723,5.0,14723,5.0
2024-07-08,156758,17657902,138963,13486015,0.0,0.0,34.62,26.44,0.0,133074,45.0,88716,30.0,44358,15.0,14786,5.0,14786,5.0
2024-07-09,157195,17815097,139752,13625767,0.0,0.0,34.93,26.72,0.0,133626,45.0,89084,30.0,44542,15.0,14847,5.0,14847,5.0
2024-07-10,157614,17972711,140532,13766299,0.0,0.0,35.24,26.99,0.0,134165,45.0,89443,30.0,44721,15.0,14907,5.0,14907,5.0
2024-07-11,158020,18130731,141304,13907603,0.0,0.0,35.55,27.27,0.0,134695,45.0,89797,30.0,44898,15.0,14966,5.0,14966,5.0
2024-07-12,158407,18289138,142065,14049668,0.0,0.0,35.86,27.55,0.0,135212,45.0,90141,30.0,45070,15.0,15023,5.0,15023,5.0
2024-07-13,158778,18447916,142817,14192485,0.0,0.0,36.17,27.83,0.0,135717,45.0,90478,30.0,45239,15.0,15079,5.0,15079,5.0
2024-07-14,159134,18607050,143559,14336044,0.0,0.0,36.48,28.11,0.0,136211,45.0,90807,30.0,45403,15.0,15134,5.0,15134,5.0
2024-07-15,159472,18766522,144289,14480333,0.0,0.0,36.8,28.39,0.0,136692,45.0,91128,30.0,45564,15.0,15188,5.0,15188,5.0
2024-07-16,159793,18926315,145010,14625343,0.0,0.0,37.11,28.68,0.0,137161,45.0,91440,30.0,45720,15.0,15240,5.0,15240,5.0
2024-07-17,160098,19086413,145719,14771062,0.0,0.0,37.42,28.96,0.0,137617,45.0,91745,30.0,45872,15.0,15290,5.0,15290,5.0
2024-07-18,160384,19246797,146416,14917478,0.0,0.0,37.74,29.25,0.0,138060,45.0,92040,30.0,46020,15.0,15340,5.0,15340,5.0
2024-07-19,160655,19407452,147103,15064581,0.0,0.0,38.05,29.54,0.0,138491,45.0,92327,30.0,46163,15.0,15387,5.0,15387,5.0
2024-07-20,160906,19568358,147778,15212359,0.0,0.0,38.37,29.83,0.0,138907,45.0,92605,30.0,46302,15.0,15434,5.0,15434,5.0
2024-07-21,161142,19729500,148440,15360799,0.0,0.0,38.69,30.12,0.0,139311,45.0,92874,30.0,46437,15.0,15479,5.0,15479,5.0
2024-07-22,161358,19890858,149090,15509889,0.0,0.0,39.0,30.41,0.0,139701,45.0,93134,30.0,46567,15.0,15522,5.0,15522,5.0
2024-07-23,161558,20052416,149727,15659616,0.0,0.0,39.32,30.71,0.0,140078,45.0,93385,30.0,46692,15.0,15564,5.0,15564,5.0
2024-07-24,161739,20214155,150352,15809968,0.0,0.0,39.64,31.0,0.0,140440,45.0,93627,30.0,46813,15.0,15604,5.0,15604,5.0
2024-07-25,161903,20376058,150963,15960931,0.0,0.0,39.95,31.3,0.0,140789,45.0,93859,30.0,46929,15.0,15643,5.0,15643,5.0
2024-07-26,162048,20538106,151562,16112493,0.0,0.0,40.27,31.59,0.0,141124,45.0,94083,30.0,47041,15.0,15680,5.0,15680,5.0
2024-07-27,162176,20700282,152146,16264639,0.0,0.0,40.59,31.89,0.0,141444,45.0,94296,30.0,47148,15.0,15716,5.0,15716,5.0
2024-07-28,162286,20862568,152717,16417356,0.0,0.0,40.91,32.19,0.0,141751,45.0,94500,30.0,47250,15.0,15750,5.0,15750,5.0
2024-07-29,162377,21024945,153273,16570629,0.0,0.0,41.23,32.49,0.0,142042,45.0,94695,30.0,47347,15.0,15782,5.0,15782,5.0
2024-07-30,162449,21187394,153816,16724445,0.0,0.0,41.54,32.79,0.0,142319,45.0,94879,30.0,47439,15.0,15813,5.0,15813,5.0
2024-07-31,162505,21349899,154344,16878789,0.0,0.0,41.86,33.1,0.0,142582,45.0,95054,30.0,47527,15.0,15842,5.0,15842,5.0
2024-08-01,162541,21512440,154857,17033646,0.0,0.0,42.18,33.4,0.0,142829,45.0,95219,30.0,47609,15.0,15869,5.0,15869,5.0
2024-08-02,162560,21675000,155355,17189001,0.0,0.0,42.5,33.7,0.0,143061,45.0,95374,30.0,47687,15.0,15895,5.0,15895,5.0
2024-08-03,162559,21837559,155838,17344839,0.0,0.0,42.82,34.01,0.0,143278,45.0,95519,30.0,47759,15.0,15919,5.0,15919,5.0
2024-08-04,162541,22000100,156305,17501144,0.0,0.0,43.14,34.32,0.0,143480,45.0,95653,30.0,47826,15.0,15942,5.0,15942,5.0
2024-08-05,162505,22162605,156758,17657902,0.0,0.0,43.46,34.62,0.0,143668,45.0,95778,30.0,47889,15.0,15963,5.0,15963,5.0
2024-08-06,162449,22325054,157195,17815097,0.0,0.0,43.77,34.93,0.0,143839,45.0,95893,30.0,47946,15.0,15982,5.0,15982,5.0
2024-08-07,162377,22487431,157614,17972711,0.0,0.0,44.09,35.24,0.0,143995,45.0,95997,30.0,47998,15.0,15999,5.0,15999,5.0
2024-08-08,162286,22649717,158020,18130731,0.0,0.0,44.41,35.55,0.0,144137,45.0,96091,30.0,48045,15.0,16015,5.0,16015,5.0
2024-08-09,162176,22811893,158407,18289138,0.0,0.0,44.73,35.86,0.0,144262,45.0,96174,30.0,48087,15.0,16029,5.0,16029,5.0
2024-08-10,162048,22973941,158778,18447916,0.0,0.0,45.05,36.17,0.0,144371,45.0,96247,30.0,48123,15.0,16041,5.0,16041,5.0
2024-08-11,161903,23135844,159134,18607050,0.0,0.0,45.36,36.48,0.0,144466,45.0,96311,30.0,48155,15.0,16051,5.0,16051,5.0
2024-08-12,161739,23297583,159472,18766522,0.0,0.0,45.68,36.8,0.0,144544,45.0,96363,30.0,48181,15.0,16060,5.0,16060,5.0
2024-08-13,161558,23459141,159793,18926315,0.0,0.0,46.0,37.11,0.0,144607,45.0,96405,30.0,48202,15.0,16067,5.0,16067,5.0
2024-08-14,161358,23620499,160098,19086413,0.0,0.0,46.31,37.42,0.0,144655,45.0,96436,30.0,48218,15.0,16072,5.0,16072,5.0
2024-08-15,161142,23781641,160384,19246797,0.0,0.0,46.63,37.74,0.0,144686,45.0,96457,30.0,48228,15.0,16076,5.0,16076,5.0
2024-08-16,160906,23942547,160655,19407452,0.0,0.0,46.95,38.05,0.0,144702,45.0,96468,30.0,48234,15.0,16078,5.0,16078,5.0
2024-08-17,160655,24103202,160906,19568358,0.0,0.0,47.26,38.37,0.0,144702,45.0,96468,30.0,48234,15.0,16078,5.0,16078,5.0
2024-08-18,160384,24263586,161142,19729500,0.0,0.0,47.58,38.69,0.0,144686,45.0,96457,30.0,48228,15.0,16076,5.0,16076,5.0
2024-08-19,160098,24423684,161358,19890858,0.0,0.0,47.89,39.0,0.0,144655,45.0,96436,30.0,48218,15.0,16072,5.0,16072,5.0
2024-08-20,159793,24583477,161558,20052416,0.0,0.0,48.2,39.32,0.0,144607,45.0,96405,30.0,48202,15.0,16067,5.0,16067,5.0
2024-08-21,159472,24742949,161739,20214155,0.0,0.0,48.52,39.64,0.0,144544,45.0,96363,30.0,48181,15.0,16060,5.0,16060,5.0
2024-08-22,159134,24902083,161903,20376058,0.0,0.0,48.83,39.95,0.0,144466,45.0,96311,30.0,48155,15.0,16051,5.0,16051,5.0
2024-08-23,158778,25060861,162048,20538106,0.0,0.0,49.14,40.27,0.0,144371,45.0,96247,30.0,48123,15.0,16041,5.0,16041,5.0
2024-08-24,158407,25219268,162176,20700282,0.0,0.0,49.45,40.59,0.0,144262,45.0,96174,30.0,48087,15.0,16029,5.0,16029,5.0
2024-08-25,158020,25377288,162286,20862568,0.0,0.0,49.76,40.91,0.0,144137,45.0,96091,30.0,48045,15.0,16015,5.0,16015,5.0
2024-08-26,157614,25534902,162377,21024945,0.0,0.0,50.07,41.23,0.0,143995,45.0,95997,30.0,47998,15.0,15999,5.0,15999,5.0
2024-08-27,157195,25692097,162449,21187394,0.0,0.0,50.38,41.54,0.0,143839,45.0,95893,30.0,47946,15.0,15982,5.0,15982,5.0
2024-08-28,156758,25848855,162505,21349899,0.0,0.0,50.68,41.86,0.0,143668,45.0,95778,30.0,47889,15.0,15963,5.0,15963,5.0
2024-08-29,156305,26005160,162541,21512440,0.0,0.0,50.99,42.18,0.0,143480,45.0,95653,30.0,47826,15.0,15942,5.0,15942,5.0
2024-08-30,155838,26160998,162560,21675000,0.0,0.0,51.3,42.5,0.0,143279,45.0,95519,30.0,47759,15.0,15919,5.0,15919,5.0
2024-08-31,155355,26316353,162559,21837559,0.0,0.0,51.6,42.82,0.0,143061,45.0,95374,30.0,47687,15.0,15895,5.0,15895,5.0
2024-09-01,154857,26471210,162541,22000100,0.0,0.0,51.9,43.14,0.0,142829,45.0,95219,30.0,47609,15.0,15869,5.0,15869,5.0
2024-09-02,154344,26625554,162505,22162605,0.0,0.0,52.21,43.46,0.0,142582,45.0,95054,30.0,47527,15.0,15842,5.0,15842,5.0
2024-09-03,153816,26779370,162449,22325054,0.0,0.0,52.51,43.77,0.0,142319,45.0,94879,30.0,47439,15.0,15813,5.0,15813,5.0
2024-09-04,153273,26932643,162377,22487431,0.0,0.0,52.81,44.09,0.0,142042,45.0,94695,30.0,47347,15.0,15782,5.0,15782,5.0
2024-09-05,152717,27085360,162286,22649717,0.0,0.0,53.11,44.41,0.0,141751,45.0,94500,30.0,47250,15.0,15750,5.0,15750,5.0
2024-09-06,152146,27237506,162176,22811893,0.0,0.0,53.41,44.73,0.0,141444,45.0,94296,30.0,47148,15.0,15716,5.0,15716,5.0
2024-09-07,151562,27389068,162048,22973941,0.0,0.0,53.7,45.05,0.0,141124,45.0,94083,30.0,47041,15.0,15680,5.0,15680,5.0
2024-09-08,150963,27540031,161903,23135844,0.0,0.0,54.0,45.36,0.0,140789,45.0,93859,30.0,46929,15.0,15643,5.0,15643,5.0
2024-09-09,150352,27690383,161739,23297583,0.0,0.0,54.29,45.68,0.0,140440,45.0,93627,30.0,46813,15.0,15604,5.0,15604,5.0
2024-09-10,149727,27840110,161558,23459141,0.0,0.0,54.59,46.0,0.0,140078,45.0,93385,30.0,46692,15.0,15564,5.0,15564,5.0
2024-09-11,149090,27989200,161358,23620499,0.0,0.0,54.88,46.31,0.0,139701,45.0,93134,30.0,46567,15.0,15522,5.0,15522,5.0
2024-09-12,148440,28137640,161142,23781641,0.0,0.0,55.17,46.63,0.0,139311,45.0,92874,30.0,46437,15.0,15479,5.0,15479,5.0
2024-09-13,147778,28285418,160906,23942547,0.0,0.0,55.46,46.95,0.0,138907,45.0,92605,30.0,46302,15.0,15434,5.0,15434,5.0
2024-09-14,147103,28432521,160655,24103202,0.0,0.0,55.75,47.26,0.0,138491,45.0,92327,30.0,46163,15.0,15387,5.0,15387,5.0
2024-09-15,146416,28578937,160384,24263586,0.0,0.0,56.04,47.58,0.0,138060,45.0,92040,30.0,46020,15.0,15340,5.0,15340,5.0
2024-09-16,145719,28724656,160098,24423684,0.0,0.0,56.32,47.89,0.0,137617,45.0,91745,30.0,45872,15.0,15290,5.0,15290,5.0
2024-09-17,145010,28869666,159793,24583477,0.0,0.0,56.61,48.2,0.0,137161,45.0,91440,30.0,45720,15.0,15240,5.0,15240,5.0
2024-09-18,144289,29013955,159472,24742949,0.0,0.0,56.89,48.52,0.0,136692,45.0,91128,30.0,45564,15.0,15188,5.0,15188,5.0
2024-09-19,143559,29157514,159134,24902083,0.0,0.0,57.17,48.83,0.0,136211,45.0,90807,30.0,45403,15.0,15134,5.0,15134,5.0
2024-09-20,142817,29300331,158778,25060861,0.0,0.0,57.45,49.14,0.0,135717,45.0,90478,30.0,45239,15.0,15079,5.0,15079,5.0
2024-09-21,142065,29442396,158407,25219268,0.0,0.0,57.73,49.45,0.0,135212,45.0,90141,30.0,45070,15.0,15023,5.0,15023,5.0
2024-09-22,141304,29583700,158020,25377288,0.0,0.0,58.01,49.76,0.0,134695,45.0,89797,30.0,44898,15.0,14966,5.0,14966,5.0
2024-09-23,140532,29724232,157614,25534902,0.0,0.0,58.28,50.07,0.0,134165,45.0,89443,30.0,44721,15.0,14907,5.0,14907,5.0
2024-09-24,139752,29863984,157195,25692097,0.0,0.0,58.56,50.38,0.0,133626,45.0,89084,30.0,44542,15.0,14847,5.0,14847,5.0
2024-09-25,138963,30002947,156758,25848855,0.0,0.0,58.83,50.68,0.0,133074,45.0,88716,30.0,44358,15.0,14786,5.0,14786,5.0
2024-09-26,138163,30141110,156305,26005160,0.0,0.0,59.1,50.99,0.0,132510,45.0,88340,30.0,44170,15.0,14723,5.0,14723,5.0
2024-09-27,137357,30278467,155838,26160998,0.0,0.0,59.37,51.3,0.0,131937,45.0,87958,30.0,43979,15.0,14659,5.0,14659,5.0
2024-09-28,136541,30415008,155355,26316353,0.0,0.0,59.64,51.6,0.0,131353,45.0,87568,30.0,43784,15.0,14594,5.0,14594,5.0
2024-09-29,135718,30550726,154857,26471210,0.0,0.0,59.9,51.9,0.0,130758,45.0,87172,30.0,43586,15.0,14528,5.0,14528,5.0
2024-09-30,134886,30685612,154344,26625554,0.0,0.0,60.17,52.21,0.0,130153,45.0,86769,30.0,43384,15.0,14461,5.0,14461,5.0
